time,completions,q_len,lat_p50,lat_p95,lat_p99,rho_tau_est,idle_budget,dream_cpu_secs,dream_events,action,reward
1.0,0,0,,,,0.46602929856176384,0.10310524530987553,0.11009336045165169,1,0,-0.010310524530987554
2.0,2,0,0.36652242100685145,0.4950883189677034,0.5065163987864458,0.47632693529252834,0.10718374459182917,0.21613694635641856,2,1,-0.010718374459182917
3.0,3,0,0.22367142327257153,0.4808032191942754,0.5036593788317602,0.4614033011499622,0.10720214017704906,0.32480716426203105,3,0,-0.010720214017704906
4.0,3,1,0.22367142327257153,0.4808032191942754,0.5036593788317602,0.4731265339812525,0.10857293390115458,0.32480716426203105,3,2,-0.010857293390115458
5.0,4,1,0.28076165282987325,0.4836451882880379,0.5042277726505127,0.4706752010380306,0.10775928567422027,0.32480716426203105,3,3,-0.010775928567422028
6.0,4,1,0.28076165282987325,0.4836451882880379,0.5042277726505127,0.489828526901219,0.11010768192206125,0.32480716426203105,3,0,-0.011010768192206125
7.0,4,1,0.28076165282987325,0.4836451882880379,0.5042277726505127,0.46514854072615097,0.10780549160469254,0.32480716426203105,3,0,-0.010780549160469255
8.0,4,2,0.28076165282987325,0.4836451882880379,0.5042277726505127,0.47453861600655256,0.10748893776617013,0.32480716426203105,3,0,-0.010748893776617014
9.0,6,0,0.28076165282987325,0.5101608901920369,0.5103708825789451,0.46419861030209364,0.10298818619870431,0.42886835541226964,4,0,-0.010298818619870432
10.0,6,0,0.28076165282987325,0.5101608901920369,0.5103708825789451,0.4646920036982747,0.10660494193512188,0.5365012477551331,5,0,-0.010660494193512188
11.0,6,0,0.28076165282987325,0.5101608901920369,0.5103708825789451,0.45449867514618636,0.10551872590866435,0.641933889766507,6,0,-0.010551872590866436
12.0,6,0,0.28076165282987325,0.5101608901920369,0.5103708825789451,0.4499811381076325,0.10655309984037875,0.7486340265329758,7,0,-0.010655309984037875
13.0,6,0,0.28076165282987325,0.5101608901920369,0.5103708825789451,0.45678374901950136,0.10756875060116039,0.8565107713595937,8,3,-0.01075687506011604
14.0,7,1,0.337851882387175,0.6662567858464983,0.7196853819050674,0.4785505439859159,0.10654565971208621,0.8565107713595937,8,0,-0.010654565971208622
15.0,8,0,0.28076165282987325,0.6551258283342964,0.7174591904026271,0.4467140752047648,0.1057148536272367,0.9661473913977676,9,0,-0.01057148536272367
16.0,8,0,0.28076165282987325,0.6551258283342964,0.7174591904026271,0.46789883102383745,0.10718058636364983,1.072880085097337,10,0,-0.010718058636364984
17.0,9,0,0.22367142327257153,0.6439948708220946,0.7152329989001867,0.4630362486627771,0.10662691388779258,1.1816202934337845,11,0,-0.010662691388779259
18.0,9,1,0.22367142327257153,0.6439948708220946,0.7152329989001867,0.46684812280817095,0.10617138579826545,1.1816202934337845,11,0,-0.010617138579826546
19.0,10,0,0.28076165282987325,0.8264688292941375,0.8876205882301268,0.45693072026725584,0.10579950381134405,1.2787117654696605,12,2,-0.010579950381134406
20.0,10,0,0.28076165282987325,0.8264688292941375,0.8876205882301268,0.477173040841748,0.10629246308847279,1.38577724964568,13,0,-0.01062924630884728
21.0,11,0,0.337851882387175,0.8179755294419169,0.8859219282596826,0.4628008648821941,0.10527201086115759,1.4948798750404293,14,0,-0.01052720108611576
22.0,11,0,0.337851882387175,0.8179755294419169,0.8859219282596826,0.4777735876857604,0.10907234047815728,1.604370215915336,15,0,-0.010907234047815729
23.0,11,0,0.337851882387175,0.8179755294419169,0.8859219282596826,0.47695502625670894,0.1061778094634779,1.7101065477563693,16,0,-0.010617780946347792
24.0,11,0,0.337851882387175,0.8179755294419169,0.8859219282596826,0.4458530628371674,0.10519027491920672,1.8160464054535264,17,0,-0.010519027491920673
25.0,11,0,0.337851882387175,0.8179755294419169,0.8859219282596826,0.4617517083692235,0.10755910276320574,1.9243873349542986,18,0,-0.010755910276320575
26.0,11,3,0.337851882387175,0.8179755294419169,0.8859219282596826,0.4664569093145995,0.10651282973346524,1.9243873349542986,18,0,-0.010651282973346525
27.0,14,0,0.3707519503162948,0.7924956298852547,0.88082594834835,0.4820610623044378,0.10483880384999089,1.9977879446132276,19,0,-0.01048388038499909
28.0,14,1,0.3707519503162948,0.7924956298852547,0.88082594834835,0.46883987060772014,0.1069884610910084,1.9977879446132276,19,0,-0.010698846109100841
29.0,15,1,0.3936584170305346,0.7840023300330339,0.8791272883779059,0.47754981386351847,0.10789684071887327,1.9977879446132276,19,0,-0.010789684071887328
30.0,15,1,0.3936584170305346,0.7840023300330339,0.8791272883779059,0.45661512531271115,0.10614885638570669,1.9977879446132276,19,0,-0.01061488563857067
31.0,15,4,0.3936584170305346,0.7840023300330339,0.8791272883779059,0.46519726638974623,0.10914738778233013,1.9977879446132276,19,0,-0.010914738778233013
